marca,modelo,cilindrada,transmision,combustible,urbano,ruta,mixto
TOYOTA,LAND CRUISER 200,4461,AUTOMATICA,GAS OIL,11.56,8.94,9.9
RENAULT,FLUENCE 2.0 16V,1997,CVT,NAFTA,10.5,6.1,7.7
RENAULT,DUSTER 2.0 16v,1998,MANUAL,NAFTA,11.13,6.98,8.52
RENAULT,DUSTER 2.0 16v 4X4,1998,MANUAL,NAFTA,11.2,7.01,8.55
CITROEN,DS4,1598,AUTOMATICA,NAFTA,10.6,6.0,7.7
RENAULT,MASTER dCi,2299,MANUAL,GAS OIL,9.2,7.4,8.0
CITROEN,DS3,1598,MANUAL,NAFTA,8.2,4.7,6.0
PEUGEOT,208,1587,MANUAL,NAFTA,10.17,5.84,7.44
TOYOTA,RAV4,2494,AUTOMATICA,NAFTA,11.4,6.9,8.5
FORD,FOCUS,1596,MANUAL,NAFTA,9.24,4.98,6.55
PEUGEOT,301,1587,MANUAL,NAFTA,8.8,5.3,6.5
CITROEN,C-ELYSEE ,1587,MANUAL,NAFTA,8.8,5.3,6.5
HYUNDAI,H-100,2497,MANUAL,GAS OIL,12.4,8.2,9.7
FORD,MONDEO,1999,AUTOMATICA,NAFTA,13.72,7.81,9.97
HYUNDAI,GRAND i10,1248,MANUAL,NAFTA,7.46,4.97,5.89
HYUNDAI,GRAND i10,1248,AUTOMATICA,NAFTA,8.11,5.46,6.44
RENAULT,SANDERO 2.6 16V RS,1998,MANUAL,NAFTA,11.37,6.71,8.42
CHERY,S5X,998,MANUAL,NAFTA,7.5,5.3,6.1
RENAULT,DUSTER OROCH 2.0 16v,1998,MANUAL,NAFTA,10.4,6.23,7.78
HYUNDAI,H350,2497,MANUAL (RF 3.538),GAS OIL,12.2,8.6,9.9
HYUNDAI,H350,2497,MANUAL (RF 3.917),GAS OIL,12.2,8.6,9.9
SUZUKI,VITARA,1586,MANUAL,NAFTA,7.26,5.26,6.0
SUZUKI,VITARA,1586,AUTOMATICA,NAFTA,7.48,5.22,6.05
CHEVROLET,MONTANA 1.8,1796,MANUAL,NAFTA,11.35,6.68,8.4
TOYOTA,LAND CRUISER PRADO,3956,AUTOMATICA,NAFTA,15.42,9.2,11.49
FORD,S-MAX,1999,AUTOMATICA,NAFTA,12.5,6.9,8.9
BMW,118i,1499,AUTOMATICA,NAFTA,6.4,4.6,5.2
HYUNDAI,TUCSON,1999,MANUAL,NAFTA,10.82,6.2,7.7
HYUNDAI,TUCSON,1999,AUTOMATICA,NAFTA,11.26,6.31,8.1
BMW,320i,1998,AUTOMATICA,NAFTA,7.6,4.7,5.8
HYUNDAI,TUCSON,1995,MANUAL,GAS OIL,6.9,4.8,5.6
HYUNDAI,TUCSON,1995,AUTOMATICA,GAS OIL,7.9,5.1,6.1
HYUNDAI,CRETA (ix25),1591,MANUAL,NAFTA,8.7,5.6,6.7
HYUNDAI,CRETA (ix25),1591,AUTOMATICA,NAFTA,9.1,5.8,7.0
TOYOTA,PRIUS,1798,CVT,NAFTA,3.7,3.8,3.8
RENAULT,CAPTUR 2.0 16v,1998,MANUAL,NAFTA,11.49,7.01,8.67
HYUNDAI,TUCSON,1591,AUTOMATICA,NAFTA,10.0,6.7,7.9
PEUGEOT,308,1598,MANUAL,NAFTA,8.1,4.9,6.0
CHEVROLET,TRACKER 1.8,1796,MANUAL,NAFTA,11.43,6.3,8.19
CHEVROLET,TRACKER 1.8,1796,AUTOMATICA,NAFTA,12.06,6.91,8.8
PEUGEOT,208,1560,MANUAL,GAS OIL,4.6,3.5,3.9
HONDA,CIVIC,1498,CVT,NAFTA,8.2,4.9,6.1
HONDA,CIVIC,1997,MANUAL,NAFTA,9.9,5.5,7.0
HONDA,CIVIC,1997,CVT,NAFTA,9.09,5.46,6.8
CHEVROLET,COBALT 1.8,1796,AUTOMATICA,NAFTA,11.54,5.86,7.91
CHEVROLET,COBALT 1.8,1796,MANUAL,NAFTA,10.53,5.6,7.42
NISSAN,MARCH,1598,MANUAL,NAFTA,8.6,5.3,6.5
NISSAN,MARCH,1598,AUTOMATICA,NAFTA,9.1,5.6,6.9
PEUGEOT,301,1587,AUTOMATICA,NAFTA,9.2,5.3,6.8
CITROEN,C-ELYSEE ,1587,AUTOMATICA,NAFTA,9.2,5.3,6.8
PEUGEOT,301,1560,MANUAL,GAS OIL,4.9,3.9,4.3
CITROEN,C-ELYSEE ,1560,MANUAL,GAS OIL,4.9,3.9,4.3
CHEVROLET,CAMARO 6.2,6162,AUTOMATICA,NAFTA,18.1,8.1,11.7
BMW,220i,1998,AUTOMATICA,NAFTA,7.7,5.2,6.1
BMW,120i,1998,AUTOMATICA,NAFTA,7.4,5.0,5.9
HONDA,WR-V,1496,CVT,NAFTA,8.2,5.7,6.6
BMW,M240i,2998,AUTOMATICA,NAFTA,9.4,5.8,7.1
BMW,M140i,2998,AUTOMATICA,NAFTA,9.4,5.8,7.1
RENAULT,KOLEOS 2.5 16v CVT 4WD,2488,CVT,NAFTA,10.34,6.64,8.0
RENAULT,KOLEOS 2.5 16v CVT 2WD,2488,CVT,NAFTA,10.36,6.63,8.0
PEUGEOT,2008,1587,AUTOMATICA,NAFTA,9.96,6.18,7.57
PEUGEOT,208,1587,AUTOMATICA,NAFTA,10.04,5.92,7.44
CITROEN,C3 AIRCROSS,1587,AUTOMATICA,NAFTA,10.39,6.34,7.86
FORD,ECOSPORT,1498,MANUAL,DIESEL,4.84,4.43,4.58
FORD,ECOSPORT,1999,AUTOMATICA,NAFTA,11.83,7.05,8.8
FIAT,ARGO DRIVE 1.3 ,1332,MANUAL,NAFTA,8.13,5.32,6.36
RENAULT,CAPTUR 1.6 16v,1598,MANUAL,NAFTA,9.55,6.18,7.43
FIAT,ARGO PRECISION 1.8,1747,MANUAL,NAFTA,10.02,5.68,7.27
FIAT,ARGO HGT 1.8,1747,MANUAL,NAFTA,10.02,5.68,7.27
RENAULT,CAPTUR 1.6 16v CVT,1598,CVT,NAFTA,9.43,6.04,7.29
CHERY,TIGGO 5 1.5 MT,1498,MANUAL,NAFTA,9.9,6.7,7.9
PEUGEOT,5008,1598,AUTOMATICA,NAFTA,10.1,6.7,7.3
VOLKSWAGEN,UP!,999,MANUAL,NAFTA,6.9,4.58,5.44
VOLKSWAGEN,UP! TSI,999,MANUAL,NAFTA,6.9,4.58,5.44
HONDA,CR-V,1498,CVT,NAFTA,8.7,5.8,6.9
VOLKSWAGEN,AMAROK,2967,AUTOMATICA,GAS OIL,10.6,8.3,9.1
ALFA ROMEO,GIULIA,1995,AUTOMATICA,NAFTA,12.94,6.12,8.65
ALFA ROMEO,GIULIA QUADRIFOGLIO,2891,AUTOMATICA,NAFTA,12.42,5.72,8.15
PEUGEOT,TRAVELLER,1997,AUTOMATICA,GAS OIL,7.3,5.8,6.4
CITROEN,SPACETOURER,1997,AUTOMATICA,GAS OIL,7.3,5.8,6.4
TOYOTA,HILUX,2393,MANUAL,GAS OIL,8.9,6.6,7.5
TOYOTA,HILUX,2755,MANUAL,GAS OIL,9.1,7.2,7.9
TOYOTA,HILUX,2755,AUTOMATICA,GAS OIL,11.3,7.0,8.6
CHEVROLET,TRAILBLAZER 2.8,2776,AUTOMATICA,GAS OIL,12.6,8.16,9.78
TOYOTA,CAMRY,2494,AUTOMATICA,NAFTA,11.77,6.8,8.6
TOYOTA,CAMRY,3456,AUTOMATICA,NAFTA,13.0,6.7,9.0
TOYOTA,INNOVA,2694,AUTOMATICA,NAFTA,13.4,8.6,10.4
PEUGEOT,PARTNER,1587,MANUAL,NAFTA,11.43,7.28,8.8
CITROEN,BERLINGO,1587,MANUAL,NAFTA,11.43,7.28,8.8
FIAT,ARGO PRECISION 1.8 AT6,1747,AUTOMATICA,NAFTA,10.96,6.09,7.89
FIAT,ARGO HGT 1.8 AT6,1747,AUTOMATICA,NAFTA,10.96,6.09,7.89
FIAT,STRADA WORKING 1.4 CC - CD,1368,MANUAL,NAFTA,10.87,6.45,8.08
RENAULT,KANGOO 1.5 CROSS,1461,MANUAL,DIESEL,5.15,4.11,4.5
RENAULT,KANGOO 1.5 FURGON,1461,MANUAL,DIESEL,5.15,4.11,4.5
RENAULT,KANGOO 1.5,1461,MANUAL,DIESEL,5.15,4.11,4.5
FIAT,CRONOS PRESICION 1.8 AT6,1747,AUTOMATICA,NAFTA,10.96,6.09,7.89
FIAT,CRONOS DRIVE 1.3,1332,MANUAL,NAFTA,8.1,5.29,6.33
FIAT,STRADA ADVENTURE 1.6 16V CABINA DOBLE,1598,MANUAL,NAFTA,10.83,6.88,8.33
CHEVROLET,S10 2.8,2776,MANUAL,GAS OIL,11.37,7.75,9.08
CHEVROLET,S10 2.8,2776,AUTOMATICA,GAS OIL,12.35,7.92,9.53
FIAT,CRONOS PRESICION 1.8 MT,1747,MANUAL,NAFTA,9.63,5.65,7.13
ALFA ROMEO,GIULIA 2.0 VELOCE,1995,AUTOMATICA,NAFTA,9.04,5.0,6.47
CHEVROLET,SPIN ACTIV 1.8,1796,MANUAL,NAFTA,10.69,6.64,8.13
CHEVROLET,SPIN 1.8,1796,MANUAL,NAFTA,10.45,6.22,7.78
CHEVROLET,SPIN ACTIV 1.8,1796,AUTOMATICA,NAFTA,10.91,6.55,8.16
CHEVROLET,SPIN 1.8 TRANSMISION AUTOMATICA,1796,AUTOMATICA,NAFTA,10.29,5.8,7.45
VOLKSWAGEN,GOLF,1984,AUTOMATICA,NAFTA,9.17,6.16,7.25
VOLKSWAGEN,GOLF GTI,1984,AUTOMATICA,NAFTA,9.17,6.16,7.25
VOLKSWAGEN,TIGUAN,1984,AUTOMATICA,NAFTA,10.92,6.99,8.42
VOLKSWAGEN,TIGUAN LWB,1984,AUTOMATICA,NAFTA,10.92,6.99,8.42
FORD,MUSTANG,5038,AUTOMATICA,NAFTA,19.29,8.96,12.73
HONDA,FIT,1496,MANUAL,NAFTA,7.86,5.12,6.13
HONDA,FIT,1496,CVT,NAFTA,7.28,5.08,5.9
RENAULT,DUSTER 1.6 16V,1599,MANUAL,NAFTA,11.14,6.9,8.46
BMW,X1 sDrive 20i,1998,AUTOMATICA,NAFTA,7.4,5.3,6.1
BMW,X2 sDrive 20i,1998,AUTOMATICA,NAFTA,7.4,5.3,6.0
MERCEDES-BENZ,SLC 300,1991,AUTOMATICA,NAFTA,7.9,5.3,6.3
TOYOTA,YARIS,1496,MANUAL,NAFTA,7.88,5.14,6.15
TOYOTA,YARIS,1496,CVT,NAFTA,7.19,5.07,5.85
ALFA ROMEO,STELVIO QUADRIFOGLIO VERDI,2891,AUTOMATICA,NAFTA,11.76,7.56,9.09
BMW,X1 xDrive 25i,1998,AUTOMATICA,NAFTA,8.0,5.9,6.6
PEUGEOT,308,1598,AUTOMATICA,NAFTA,8.8,5.2,6.5
HYUNDAI,IONIQ HYBRID LH BLUE DRIVE,1580,AUTOMATICA,NAFTA - ELECTRICIDAD,3.9,3.9,4.0
VOLKSWAGEN,AMAROK,1968,MANUAL,GAS OIL,10.3,7.3,8.4
JEEP,COMPASS TRAILHAWK 2.0 AT9 4WD,1956,AUTOMATICA,GAS OIL,9.19,5.95,7.13
LAND ROVER,DISCOVERY SPORT,1997,AUTOMATICA,NAFTA,9.6,7.1,8.0
CHEVROLET,EQUINOX,1490,AUTOMATICA,NAFTA,9.87,6.39,7.67
HYUNDAI,VELOSTER,1999,MANUAL,NAFTA,9.6,5.6,7.1
HYUNDAI,VELOSTER,1999,AUTOMATICA,NAFTA,9.7,5.7,7.2
HYUNDAI,VELOSTER 1.6T,1591,MANUAL,NAFTA,10.2,5.9,7.5
HYUNDAI,VELOSTER 1.6T,1591,AUTOMATICA,NAFTA,8.8,5.5,6.7
FORD,KA,1496,MANUAL,NAFTA,7.04,5.04,5.77
FORD,KA,1496,AUTOMATICA,NAFTA,8.18,5.44,6.45
HYUNDAI,HD35L,2497,MANUAL,GAS OIL,13.01,9.0,10.51
HONDA,ACCORD,1996,AUTOMATICA,NAFTA,12.1,6.1,8.3
HONDA,ACCORD,1498,CVT,NAFTA,9.0,5.3,6.7
VOLVO,XC40 T5,1969,AUTOMATICA,NAFTA,12.4,7.7,9.1
MERCEDES-BENZ,E 220 d 4MATIC ALL TERRAIN,1950,AUTOMATICA,GAS OIL,6.0,5.0,5.3
VOLKSWAGEN,TIGUAN LWB,1968,AUTOMATICA,GAS OIL,8.4,5.9,6.8
MERCEDES-BENZ,A 200,1333,AUTOMATICA,NAFTA,7.3,5.0,5.8
BMW,X3 sDrive 20i,1998,AUTOMATICA,NAFTA,8.8,6.6,7.4
BMW,X3 xDrive 20i,1998,AUTOMATICA,NAFTA,8.9,6.8,7.6
FIAT,UNO DRIVE 1.3 GSE,1332,MANUAL,NAFTA,8.05,5.34,6.34
FIAT,UNO SPORTING 1.3 GSE,1332,MANUAL,NAFTA,8.05,5.34,6.34
FIAT,UNO WAY 1.3 GSE,1332,MANUAL,NAFTA,8.05,5.34,6.34
LAND ROVER,RANGE ROVER SPORT,2993,AUTOMATICA,GAS OIL,7.9,6.4,7.0
LAND ROVER,RANGE ROVER SPORT,2995,AUTOMATICA,NAFTA,14.9,8.4,10.8
LAND ROVER,RANGE ROVER SPORT,4999,AUTOMATICA,NAFTA,19.8,10.0,13.6
VOLVO,XC40 T4,1969,AUTOMATICA,NAFTA,12.1,6.9,8.4
RENAULT,MEGANE RS 1.8 I6v,1798,AUTOMATICA,NAFTA,8.4,6.0,7.0
CITROEN,C4 CACTUS,1598,AUTOMATICA,NAFTA,9.9,6.3,7.6
CITROEN,C4 CACTUS,1587,MANUAL,NAFTA,10.39,5.96,7.6
CITROEN,C4 CACTUS,1587,AUTOMATICA,NAFTA,9.48,6.83,7.81
BMW,X2 sDrive 18i,1499,MANUAL,NAFTA,7.3,5.4,6.1
BMW,X2 sDrive 18i,1499,AUTOMATICA,NAFTA,7.6,5.6,6.3
AUDI,A6,2995,AUTOMATICA,NAFTA,9.6,6.0,7.4
AUDI,A7 - A7 SPORTBACK,2995,AUTOMATICA,NAFTA,9.6,6.1,7.4
BMW,X4 xDrive 20i,1998,AUTOMATICA,NAFTA,9.0,7.1,7.8
NISSAN,FRONTIER o NP300 FRONTIER,2298,MANUAL,GAS OIL,7.8,6.1,6.7
NISSAN,FRONTIER o NP300 FRONTIER,2298,AUTOMATICA,GAS OIL,9.7,6.5,7.6
BMW,X4 xDrive 30i,1998,AUTOMATICA,NAFTA,9.3,6.9,7.8
RENAULT,ALASKAN 2.3 190 HP,2298,MANUAL,GAS OIL,7.8,6.1,6.7
TOYOTA,HILUX,3956,AUTOMATICA,NAFTA,16.5,9.6,12.1
HONDA,HR-V,1799,CVT,NAFTA,8.2,5.5,6.5
VOLKSWAGEN,VENTO,1395,AUTOMATICA,NAFTA,8.34,4.86,6.16
RENAULT,ALASKAN 2.3 190 HP 4x4 AT,2298,AUTOMATICA,GAS OIL,9.7,6.5,7.6
HYUNDAI,KONA,1591,AUTOMATICA,NAFTA,8.24,6.11,6.89
RENAULT,ALASKAN 2.3 190 HP 4x4 MT,2298,MANUAL,GAS OIL,8.0,6.4,7.0
RAM,RAM 1200 4X4 AT,2442,AUTOMATICA,GAS OIL,9.2,6.8,7.7
RAM,RAM 1200 4X4 MT,2442,MANUAL,GAS OIL,8.9,6.3,7.3
FIAT,TORO VOLCANO,1956,AUTOMATICA,GAS OIL,9.9,7.19,8.19
FIAT,TORO RANCH,1956,AUTOMATICA,GAS OIL,9.9,7.19,8.19
FIAT,TORO FREEDOM,1956,AUTOMATICA,GAS OIL,9.9,7.19,8.19
FIAT,TORO FREEDOM 2.0 AT9 4WD,1956,AUTOMATICA,GAS OIL,10.12,6.56,7.88
FIAT,TORO RANCH 2.0 AT9 4WD,1956,AUTOMATICA,GAS OIL,10.12,6.56,7.88
FIAT,TORO ENDURANCE 2.0 AT9 4WD,1956,AUTOMATICA,GAS OIL,10.12,6.56,7.88
PEUGEOT,508,1598,AUTOMATICA,NAFTA,7.19,4.96,5.78
AUDI,A5 - A5 COUPE,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,7.2,4.9,5.8
AUDI,A5 - A5 CABRIO,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,7.6,5.3,6.1
AUDI,A4 - A4 AVANT,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,7.4,5.1,6.0
AUDI,A4,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,7.3,4.9,5.8
AUDI,A5 - A5 SPORTBACK,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,7.2,4.9,5.7
AUDI,A8 - A8 L,3996,AUTOMATICA,NAFTA - ELECTRICIDAD,13.8,7.9,10.1
FIAT,TORO 1.8 BZ AT6,1747,AUTOMATICA,NAFTA,10.22,6.89,8.12
MERCEDES-BENZ,A 250,1991,AUTOMATICA,NAFTA,8.7,5.2,6.5
AUDI,Q5,2967,AUTOMATICA,GAS OIL,9.0,6.9,7.7
HYUNDAI,VELOSTER,1998,MANUAL,NAFTA,12.91,7.04,9.21
AUDI,A5 - A5 COUPE,1984,MANUAL,NAFTA - ELECTRICIDAD,7.7,4.9,5.9
AUDI,A5 - A5 CABRIO,1984,MANUAL,NAFTA - ELECTRICIDAD,7.9,5.2,6.2
AUDI,A4 - A4 AVANT,1984,MANUAL,NAFTA - ELECTRICIDAD,7.8,5.1,6.1
AUDI,A4,1984,MANUAL,NAFTA - ELECTRICIDAD,7.7,5.0,6.0
AUDI,A5 - A5 SPORTBACK,1984,MANUAL,NAFTA - ELECTRICIDAD,7.7,5.0,6.0
AUDI,Q8,2995,AUTOMATICA,NAFTA - ELECTRICIDAD,11.1,8.0,9.2
JEEP,WRANGLER: SPORT - SAHARA,3604,AUTOMATICA,NAFTA,13.54,8.09,10.1
JEEP,WRANGLER: SPORT - SAHARA -- UNLIMITED SPORT,3604,AUTOMATICA,NAFTA,13.54,8.09,10.1
JEEP,WRANGLER: SPORT - SAHARA -UNLIMITED SAHARA,3604,AUTOMATICA,NAFTA,13.54,8.09,10.1
JEEP,WRANGLER: RUBICON,3604,AUTOMATICA,NAFTA,14.37,8.78,10.84
JEEP,WRANGLER: RUBICON - UNLIMITED RUBICON,3604,AUTOMATICA,NAFTA,14.37,8.78,10.84
MERCEDES-BENZ,G 500,3982,AUTOMATICA,NAFTA,15.1,10.4,12.1
BMW,X4 M40i,2998,AUTOMATICA,NAFTA,11.6,7.8,9.2
MERCEDES-BENZ,MERCEDES-AMG G 63,3982,AUTOMATICA,NAFTA,16.4,11.2,13.1
MERCEDES-BENZ,A 180,1332,AUTOMATICA,NAFTA,7.4,4.9,5.8
BMW,530i,1998,AUTOMATICA,NAFTA,8.3,6.0,6.8
HYUNDAI,SANTA FE HTRACK,2359,AUTOMATICA,NAFTA,13.92,8.09,10.23
HYUNDAI,SANTA FE HTRACK,2359,MANUAL,NAFTA,13.55,7.76,9.91
HYUNDAI,SANTA FE 3.5 HTRAC,3470,AUTOMATICA,NAFTA,15.19,8.39,10.89
HYUNDAI,SANTA FE HTRAC 2.2D,2199,MANUAL,GAS OIL,8.02,5.47,6.41
HYUNDAI,SANTA FE HTRAC 2.2D,2199,AUTOMATICA,GAS OIL,10.16,6.33,7.74
SUBARU,FORESTER,1995,CVT,NAFTA,8.6,6.0,7.0
SUBARU,FORESTER,2498,CVT,NAFTA,9.4,6.4,7.5
